Series,Index,X,Y,Z
FOPDT fijo,122,121.000831,34.2875755,
FOPDT fijo,123,122.005423,34.47463447,
FOPDT fijo,124,122.998417,34.65865119,
FOPDT fijo,125,124.005344,34.84435811,
FOPDT fijo,126,125.004122,35.02767923,
FOPDT fijo,127,125.999755,35.20955212,
FOPDT fijo,128,127.000961,35.3915703,
FOPDT fijo,129,128.000397,35.57239802,
FOPDT fijo,130,129.002973,35.75292603,
FOPDT fijo,131,130.006922,35.93283446,
FOPDT fijo,132,131.001036,36.11012983,
FOPDT fijo,133,132.01035,36.28927426,
FOPDT fijo,134,133.009172,36.46570571,
FOPDT fijo,135,134.005725,36.64089698,
FOPDT fijo,136,135.001208,36.81506706,
FOPDT fijo,137,136.008686,36.99049208,
FOPDT fijo,138,137.00292,37.16278291,
FOPDT fijo,139,138.000887,37.33489731,
FOPDT fijo,140,138.999742,37.50634282,
FOPDT fijo,141,140.001067,37.67739078,
FOPDT fijo,142,141.010707,37.84903032,
FOPDT fijo,143,142.007673,38.01770257,
FOPDT fijo,144,143.005113,38.18565072,
FOPDT fijo,145,144.005793,38.35333987,
FOPDT fijo,146,145.002818,38.51961892,
FOPDT fijo,147,146.006153,38.68615044,
FOPDT fijo,148,147.001297,38.85053361,
FOPDT fijo,149,148.005311,39.01558965,
FOPDT fijo,150,149.004266,39.17902795,
FOPDT fijo,151,150.00293,39.34163865,
FOPDT fijo,152,151.005335,39.50407799,
FOPDT fijo,153,152.005644,39.66540188,
FOPDT fijo,154,153.002329,39.82537423,
FOPDT fijo,155,154.006464,39.98577173,
FOPDT fijo,156,154.999501,40.14363941,
FOPDT fijo,157,156.007598,40.30313486,
FOPDT fijo,158,156.998438,40.45915115,
FOPDT fijo,159,158.00634,40.61709598,
FOPDT fijo,160,159.007047,40.77316059,
FOPDT fijo,161,159.999688,40.92722984,
FOPDT fijo,162,160.999642,41.08169511,
FOPDT fijo,163,162.004222,41.23613162,
FOPDT fijo,164,163.000339,41.38853494,
FOPDT fijo,165,164.005719,41.54161976,
FOPDT fijo,166,165.004779,41.6930136,
FOPDT fijo,167,166.009705,41.84456708,
FOPDT fijo,168,167.00495,41.99394314,
FOPDT fijo,169,168.005747,42.14343601,
FOPDT fijo,170,169.001729,42.29149973,
FOPDT fijo,171,170.008608,42.440467,
FOPDT fijo,172,171.000174,42.58646811,
FOPDT fijo,173,172.001917,42.7332651,
FOPDT fijo,174,173.007258,42.87988274,
FOPDT fijo,175,174.002428,43.02432322,
FOPDT fijo,176,175.001168,43.16859115,
FOPDT fijo,177,176.006523,43.31311911,
FOPDT fijo,178,177.008724,43.45650248,
FOPDT fijo,179,178.005807,43.59847207,
FOPDT fijo,180,179.005056,43.74007131,
FOPDT fijo,181,180.007417,43.88143213,
FOPDT fijo,182,181.002589,44.02110914,
FOPDT fijo,183,182.006314,44.16131367,
FOPDT fijo,184,183.008313,44.30060625,
FOPDT fijo,185,184.005695,44.43859454,
FOPDT fijo,186,184.998148,44.57524798,
FOPDT fijo,187,186.004454,44.71314705,
FOPDT fijo,188,187.002457,44.84925328,
FOPDT fijo,189,188.005115,44.98534059,
FOPDT fijo,190,189.004838,45.12038026,
FOPDT fijo,191,190.006295,45.25500725,
FOPDT fijo,192,191.008631,45.38910718,
FOPDT fijo,193,192.006661,45.52199274,
FOPDT fijo,194,193.00728,45.65458669,
FOPDT fijo,195,194.004704,45.78612618,
FOPDT fijo,196,194.999473,45.91669097,
FOPDT fijo,197,196.005027,46.04804041,
FOPDT fijo,198,197.006293,46.17820252,
FOPDT fijo,199,198.006084,46.30755137,
FOPDT fijo,200,198.999288,46.43543603,
FOPDT fijo,201,200.010436,46.56500756,
FOPDT fijo,202,201.006072,46.69197948,
FOPDT fijo,203,202.011421,46.81957702,
FOPDT fijo,204,202.999455,46.94437961,
FOPDT fijo,205,204.00439,47.07071247,
FOPDT fijo,206,205.005825,47.19600173,
FOPDT fijo,207,205.996822,47.31939476,
FOPDT fijo,208,207.006491,47.44451167,
FOPDT fijo,209,208.008608,47.56809574,
FOPDT fijo,210,208.998886,47.68963832,
FOPDT fijo,211,209.999197,47.81182828,
FOPDT fijo,212,210.998506,47.93331255,
FOPDT fijo,213,212.006297,48.05524033,
FOPDT fijo,214,213.006427,48.17566065,
FOPDT fijo,215,213.999431,48.29465348,
FOPDT fijo,216,215.000879,48.4140862,
FOPDT fijo,217,216.004829,48.53324353,
FOPDT fijo,218,217.001791,48.65100567,
FOPDT fijo,219,218.007008,48.76917479,
FOPDT fijo,220,219.004946,48.88592664,
FOPDT fijo,221,220.004227,49.00227764,
FOPDT fijo,222,221.000562,49.11773238,
FOPDT fijo,223,222.00517,49.23358915,
FOPDT fijo,224,223.006354,49.34849761,
FOPDT fijo,225,223.999652,49.4619576,
FOPDT fijo,226,225.001373,49.57583421,
FOPDT fijo,227,225.998508,49.68864801,
FOPDT fijo,228,227.005224,49.80200038,
FOPDT fijo,229,228.002154,49.91371341,
FOPDT fijo,230,229.006496,50.02571878,
FOPDT fijo,231,230.006024,50.13665351,
FOPDT fijo,232,230.999776,50.2464218,
FOPDT fijo,233,232.000493,50.35643258,
FOPDT fijo,234,233.006281,50.46647067,
FOPDT fijo,235,234.004115,50.57511585,
FOPDT fijo,236,235.003874,50.68345099,
FOPDT fijo,237,235.999191,50.79079058,
FOPDT fijo,238,237.005049,50.89874821,
FOPDT fijo,239,238.005999,51.00566386,
FOPDT fijo,240,239.009383,51.11232615,
FOPDT fijo,241,240.001466,51.21728422,
FOPDT fijo,242,241.00446,51.32289072,
FOPDT fijo,243,242.003887,51.42761809,
FOPDT fijo,244,243.005571,51.53208003,
FOPDT fijo,245,244.000062,51.6352971,
